"Step","GCN_features-16_layers-2_lr-0.0001 - test_accuracy","GCN_features-16_layers-2_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-2_lr-0.001 - test_accuracy","GCN_features-16_layers-2_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-2_lr-0.01 - test_accuracy","GCN_features-16_layers-2_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.01 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.0001 - test_accuracy","GCN_features-16_layers-1_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.001 - test_accuracy","GCN_features-16_layers-1_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.01 - test_accuracy","GCN_features-16_layers-1_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.01 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.0001 - test_accuracy","GCN_features-16_layers-0_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.001 - test_accuracy","GCN_features-16_layers-0_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.01 - test_accuracy","GCN_features-16_layers-0_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.01 - test_accuracy__MAX","GCN_features-8_layers-2_lr-0.0001 - test_accuracy","GCN_features-8_layers-2_lr-0.0001 - test_accuracy__MIN","GCN_features-8_layers-2_lr-0.0001 - test_accuracy__MAX"
"10","0.44600000977516174","0.44600000977516174","0.44600000977516174","0.29100000858306885","0.29100000858306885","0.29100000858306885","0.41200003027915955","0.41200003027915955","0.41200003027915955","0.32199999690055847","0.32199999690055847","0.32199999690055847","0.17399999499320984","0.17399999499320984","0.17399999499320984","0.35600000619888306","0.35600000619888306","0.35600000619888306","0.1720000058412552","0.1720000058412552","0.1720000058412552","0.30799999833106995","0.30799999833106995","0.30799999833106995","0.17800000309944153","0.17800000309944153","0.17800000309944153","0.20000001788139343","0.20000001788139343","0.20000001788139343"
"11","0.37400001287460327","0.37400001287460327","0.37400001287460327","0.2849999964237213","0.2849999964237213","0.2849999964237213","0.3879999816417694","0.3879999816417694","0.3879999816417694","0.3540000021457672","0.3540000021457672","0.3540000021457672","0.1809999942779541","0.1809999942779541","0.1809999942779541","0.45100000500679016","0.45100000500679016","0.45100000500679016","0.14900000393390656","0.14900000393390656","0.14900000393390656","0.3630000054836273","0.3630000054836273","0.3630000054836273","0.17900000512599945","0.17900000512599945","0.17900000512599945","0.32499998807907104","0.32499998807907104","0.32499998807907104"
"12","0.44600000977516174","0.44600000977516174","0.44600000977516174","0.34599998593330383","0.34599998593330383","0.34599998593330383","0.46399998664855957","0.46399998664855957","0.46399998664855957","0.3800000250339508","0.3800000250339508","0.3800000250339508","0.17800000309944153","0.17800000309944153","0.17800000309944153","0.42399999499320984","0.42399999499320984","0.42399999499320984","0.1939999908208847","0.1939999908208847","0.1939999908208847","0.3230000138282776","0.3230000138282776","0.3230000138282776","0.17800000309944153","0.17800000309944153","0.17800000309944153","0.24799999594688416","0.24799999594688416","0.24799999594688416"
"13","0.3700000047683716","0.3700000047683716","0.3700000047683716","0.3100000023841858","0.3100000023841858","0.3100000023841858","0.4320000410079956","0.4320000410079956","0.4320000410079956","0.39899998903274536","0.39899998903274536","0.39899998903274536","0.18000000715255737","0.18000000715255737","0.18000000715255737","0.49299997091293335","0.49299997091293335","0.49299997091293335","0.17399999499320984","0.17399999499320984","0.17399999499320984","0.3800000250339508","0.3800000250339508","0.3800000250339508","0.17800000309944153","0.17800000309944153","0.17800000309944153","0.4129999876022339","0.4129999876022339","0.4129999876022339"
"14","0.44999998807907104","0.44999998807907104","0.44999998807907104","0.37599998712539673","0.37599998712539673","0.37599998712539673","0.5139999985694885","0.5139999985694885","0.5139999985694885","0.42800000309944153","0.42800000309944153","0.42800000309944153","0.17800000309944153","0.17800000309944153","0.17800000309944153","0.49000000953674316","0.49000000953674316","0.49000000953674316","0.21299999952316284","0.21299999952316284","0.21299999952316284","0.3449999988079071","0.3449999988079071","0.3449999988079071","0.17900000512599945","0.17900000512599945","0.17900000512599945","0.3230000138282776","0.3230000138282776","0.3230000138282776"
"15","0.37299999594688416","0.37299999594688416","0.37299999594688416","0.33000001311302185","0.33000001311302185","0.33000001311302185","0.47999998927116394","0.47999998927116394","0.47999998927116394","0.43799999356269836","0.43799999356269836","0.43799999356269836","0.1850000023841858","0.1850000023841858","0.1850000023841858","0.5260000228881836","0.5260000228881836","0.5260000228881836","0.1990000158548355","0.1990000158548355","0.1990000158548355","0.39899998903274536","0.39899998903274536","0.39899998903274536","0.1889999955892563","0.1889999955892563","0.1889999955892563","0.4560000002384186","0.4560000002384186","0.4560000002384186"
"16","0.4569999575614929","0.4569999575614929","0.4569999575614929","0.38100001215934753","0.38100001215934753","0.38100001215934753","0.5249999761581421","0.5249999761581421","0.5249999761581421","0.47200000286102295","0.47200000286102295","0.47200000286102295","0.17900000512599945","0.17900000512599945","0.17900000512599945","0.5049999952316284","0.5049999952316284","0.5049999952316284","0.23499999940395355","0.23499999940395355","0.23499999940395355","0.375","0.375","0.375","0.1900000125169754","0.1900000125169754","0.1900000125169754","0.3960000276565552","0.3960000276565552","0.3960000276565552"
"17","0.38599997758865356","0.38599997758865356","0.38599997758865356","0.335999995470047","0.335999995470047","0.335999995470047","0.49699997901916504","0.49699997901916504","0.49699997901916504","0.46799999475479126","0.46799999475479126","0.46799999475479126","0.1850000023841858","0.1850000023841858","0.1850000023841858","0.5299999713897705","0.5299999713897705","0.5299999713897705","0.21899999678134918","0.21899999678134918","0.21899999678134918","0.4129999876022339","0.4129999876022339","0.4129999876022339","0.19700001180171967","0.19700001180171967","0.19700001180171967","0.4860000014305115","0.4860000014305115","0.4860000014305115"
"18","0.47300001978874207","0.47300001978874207","0.47300001978874207","0.4090000092983246","0.4090000092983246","0.4090000092983246","0.5249999761581421","0.5249999761581421","0.5249999761581421","0.5070000290870667","0.5070000290870667","0.5070000290870667","0.18000000715255737","0.18000000715255737","0.18000000715255737","0.5120000243186951","0.5120000243186951","0.5120000243186951","0.27300000190734863","0.27300000190734863","0.27300000190734863","0.38499999046325684","0.38499999046325684","0.38499999046325684","0.2019999921321869","0.2019999921321869","0.2019999921321869","0.4320000410079956","0.4320000410079956","0.4320000410079956"
"19","0.39100000262260437","0.39100000262260437","0.39100000262260437","0.34700000286102295","0.34700000286102295","0.34700000286102295","0.4959999918937683","0.4959999918937683","0.4959999918937683","0.503000020980835","0.503000020980835","0.503000020980835","0.1850000023841858","0.1850000023841858","0.1850000023841858","0.5130000114440918","0.5130000114440918","0.5130000114440918","0.26100000739097595","0.26100000739097595","0.26100000739097595","0.42800000309944153","0.42800000309944153","0.42800000309944153","0.20600001513957977","0.20600001513957977","0.20600001513957977","0.5040000081062317","0.5040000081062317","0.5040000081062317"
