"Step","GAT-data_poisoning-client_poison_perc_30-agg_strategy-Krum - test_accuracy","GAT-data_poisoning-client_poison_perc_30-agg_strategy-Krum - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_30-agg_strategy-Krum - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_30-agg_strategy-FedMedian - test_accuracy","GAT-data_poisoning-client_poison_perc_30-agg_strategy-FedMedian - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_30-agg_strategy-FedMedian - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_30-agg_strategy-FedAvg - test_accuracy","GAT-data_poisoning-client_poison_perc_30-agg_strategy-FedAvg - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_30-agg_strategy-FedAvg - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_20-agg_strategy-Krum - test_accuracy","GAT-data_poisoning-client_poison_perc_20-agg_strategy-Krum - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_20-agg_strategy-Krum - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_20-agg_strategy-FedMedian - test_accuracy","GAT-data_poisoning-client_poison_perc_20-agg_strategy-FedMedian - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_20-agg_strategy-FedMedian - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_20-agg_strategy-FedAvg - test_accuracy","GAT-data_poisoning-client_poison_perc_20-agg_strategy-FedAvg - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_20-agg_strategy-FedAvg - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_10-agg_strategy-Krum - test_accuracy","GAT-data_poisoning-client_poison_perc_10-agg_strategy-Krum - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_10-agg_strategy-Krum - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_10-agg_strategy-FedMedian - test_accuracy","GAT-data_poisoning-client_poison_perc_10-agg_strategy-FedMedian - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_10-agg_strategy-FedMedian - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_10-agg_strategy-FedAvg - test_accuracy","GAT-data_poisoning-client_poison_perc_10-agg_strategy-FedAvg - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_10-agg_strategy-FedAvg - test_accuracy__MAX"
"19","0.21320000365376474","0.21320000365376474","0.21320000365376474","0.2864000007510185","0.2864000007510185","0.2864000007510185","0.313699996471405","0.313699996471405","0.313699996471405","0.19890000447630882","0.19890000447630882","0.19890000447630882","0.29119999930262563","0.29119999930262563","0.29119999930262563","0.32390000075101855","0.32390000075101855","0.32390000075101855","0.21599999591708183","0.21599999591708183","0.21599999591708183","0.30509999841451646","0.30509999841451646","0.30509999841451646","0.32209999933838845","0.32209999933838845","0.32209999933838845"
"20","0.20969999581575394","0.20969999581575394","0.20969999581575394","0.2848000004887581","0.2848000004887581","0.2848000004887581","0.3187000036239624","0.3187000036239624","0.3187000036239624","0.1825000002980232","0.1825000002980232","0.1825000002980232","0.2714999966323376","0.2714999966323376","0.2714999966323376","0.3288999989628792","0.3288999989628792","0.3288999989628792","0.20920000076293946","0.20920000076293946","0.20920000076293946","0.31710000336170197","0.31710000336170197","0.31710000336170197","0.3324999988079071","0.3324999988079071","0.3324999988079071"
"21","0.18110000118613243","0.18110000118613243","0.18110000118613243","0.31350000351667406","0.31350000351667406","0.31350000351667406","0.3107000023126602","0.3107000023126602","0.3107000023126602","0.21900000497698785","0.21900000497698785","0.21900000497698785","0.27490000054240227","0.27490000054240227","0.27490000054240227","0.33290000408887865","0.33290000408887865","0.33290000408887865","0.18639999851584435","0.18639999851584435","0.18639999851584435","0.3102999985218048","0.3102999985218048","0.3102999985218048","0.32240000143647196","0.32240000143647196","0.32240000143647196"
"22","0.2754000052809715","0.2754000052809715","0.2754000052809715","0.28749999701976775","0.28749999701976775","0.28749999701976775","0.3186999917030334","0.3186999917030334","0.3186999917030334","0.20330000147223473","0.20330000147223473","0.20330000147223473","0.28599999845027924","0.28599999845027924","0.28599999845027924","0.3348000019788742","0.3348000019788742","0.3348000019788742","0.21030000150203704","0.21030000150203704","0.21030000150203704","0.30430000126361845","0.30430000126361845","0.30430000126361845","0.3269999988377094","0.3269999988377094","0.3269999988377094"
"23","0.22020000070333481","0.22020000070333481","0.22020000070333481","0.29360000044107437","0.29360000044107437","0.29360000044107437","0.3186000049114227","0.3186000049114227","0.3186000049114227","0.17799999862909316","0.17799999862909316","0.17799999862909316","0.2893000029027462","0.2893000029027462","0.2893000029027462","0.3355000004172325","0.3355000004172325","0.3355000004172325","0.22880000174045562","0.22880000174045562","0.22880000174045562","0.3112999990582466","0.3112999990582466","0.3112999990582466","0.3194000095129013","0.3194000095129013","0.3194000095129013"
"24","0.24959999918937684","0.24959999918937684","0.24959999918937684","0.2949000015854836","0.2949000015854836","0.2949000015854836","0.3203000068664551","0.3203000068664551","0.3203000068664551","0.19219999983906746","0.19219999983906746","0.19219999983906746","0.28070000261068345","0.28070000261068345","0.28070000261068345","0.3239999979734421","0.3239999979734421","0.3239999979734421","0.23920000046491624","0.23920000046491624","0.23920000046491624","0.3088000014424324","0.3088000014424324","0.3088000014424324","0.33259999230504034","0.33259999230504034","0.33259999230504034"
"25","0.21849999874830245","0.21849999874830245","0.21849999874830245","0.29140000194311144","0.29140000194311144","0.29140000194311144","0.3224999994039536","0.3224999994039536","0.3224999994039536","0.22830000296235084","0.22830000296235084","0.22830000296235084","0.2774999998509884","0.2774999998509884","0.2774999998509884","0.33459999710321425","0.33459999710321425","0.33459999710321425","0.23439999520778657","0.23439999520778657","0.23439999520778657","0.3193999946117401","0.3193999946117401","0.3193999946117401","0.3296999968588352","0.3296999968588352","0.3296999968588352"
"26","0.22859999686479568","0.22859999686479568","0.22859999686479568","0.31090000122785566","0.31090000122785566","0.31090000122785566","0.3283000022172928","0.3283000022172928","0.3283000022172928","0.2134000025689602","0.2134000025689602","0.2134000025689602","0.27490000128746034","0.27490000128746034","0.27490000128746034","0.3301999971270561","0.3301999971270561","0.3301999971270561","0.2355000041425228","0.2355000041425228","0.2355000041425228","0.30670000314712526","0.30670000314712526","0.30670000314712526","0.32889999970793726","0.32889999970793726","0.32889999970793726"
"27","0.1809999994933605","0.1809999994933605","0.1809999994933605","0.294999997317791","0.294999997317791","0.294999997317791","0.31969999969005586","0.31969999969005586","0.31969999969005586","0.2124999962747097","0.2124999962747097","0.2124999962747097","0.2691000007092953","0.2691000007092953","0.2691000007092953","0.3313000023365021","0.3313000023365021","0.3313000023365021","0.23680000603199006","0.23680000603199006","0.23680000603199006","0.31329999715089796","0.31329999715089796","0.31329999715089796","0.3272000029683113","0.3272000029683113","0.3272000029683113"
"28","0.19140000119805337","0.19140000119805337","0.19140000119805337","0.30440000295639036","0.30440000295639036","0.30440000295639036","0.318699999153614","0.318699999153614","0.318699999153614","0.20509999990463257","0.20509999990463257","0.20509999990463257","0.26430000439286233","0.26430000439286233","0.26430000439286233","0.33040000349283216","0.33040000349283216","0.33040000349283216","0.23569999635219574","0.23569999635219574","0.23569999635219574","0.3117000013589859","0.3117000013589859","0.3117000013589859","0.3265000022947788","0.3265000022947788","0.3265000022947788"
