"Step","GAT_features-16_layers-2_lr-0.0001 - test_accuracy","GAT_features-16_layers-2_lr-0.0001 - test_accuracy__MIN","GAT_features-16_layers-2_lr-0.0001 - test_accuracy__MAX","GAT_features-16_layers-2_lr-0.001 - test_accuracy","GAT_features-16_layers-2_lr-0.001 - test_accuracy__MIN","GAT_features-16_layers-2_lr-0.001 - test_accuracy__MAX","GAT_features-16_layers-2_lr-0.01 - test_accuracy","GAT_features-16_layers-2_lr-0.01 - test_accuracy__MIN","GAT_features-16_layers-2_lr-0.01 - test_accuracy__MAX","GAT_features-16_layers-1_lr-0.0001 - test_accuracy","GAT_features-16_layers-1_lr-0.0001 - test_accuracy__MIN","GAT_features-16_layers-1_lr-0.0001 - test_accuracy__MAX","GAT_features-16_layers-1_lr-0.001 - test_accuracy","GAT_features-16_layers-1_lr-0.001 - test_accuracy__MIN","GAT_features-16_layers-1_lr-0.001 - test_accuracy__MAX","GAT_features-16_layers-1_lr-0.01 - test_accuracy","GAT_features-16_layers-1_lr-0.01 - test_accuracy__MIN","GAT_features-16_layers-1_lr-0.01 - test_accuracy__MAX","GAT_features-16_layers-0_lr-0.0001 - test_accuracy","GAT_features-16_layers-0_lr-0.0001 - test_accuracy__MIN","GAT_features-16_layers-0_lr-0.0001 - test_accuracy__MAX","GAT_features-16_layers-0_lr-0.001 - test_accuracy","GAT_features-16_layers-0_lr-0.001 - test_accuracy__MIN","GAT_features-16_layers-0_lr-0.001 - test_accuracy__MAX","GAT_features-16_layers-0_lr-0.01 - test_accuracy","GAT_features-16_layers-0_lr-0.01 - test_accuracy__MIN","GAT_features-16_layers-0_lr-0.01 - test_accuracy__MAX","GAT_features-8_layers-2_lr-0.0001 - test_accuracy","GAT_features-8_layers-2_lr-0.0001 - test_accuracy__MIN","GAT_features-8_layers-2_lr-0.0001 - test_accuracy__MAX"
"0","0.2639999985694885","0.2639999985694885","0.2639999985694885","0.45500001311302185","0.45500001311302185","0.45500001311302185","0.3440000116825104","0.3440000116825104","0.3440000116825104","0.45399999618530273","0.45399999618530273","0.45399999618530273","0.3569999933242798","0.3569999933242798","0.3569999933242798","0.35199999809265137","0.35199999809265137","0.35199999809265137","0.3919999897480011","0.3919999897480011","0.3919999897480011","0.4099999964237213","0.4099999964237213","0.4099999964237213","0.4360000193119049","0.4360000193119049","0.4360000193119049","0.2759999930858612","0.2759999930858612","0.2759999930858612"
"1","0.5070000290870667","0.5070000290870667","0.5070000290870667","0.4830000102519989","0.4830000102519989","0.4830000102519989","0.4480000138282776","0.4480000138282776","0.4480000138282776","0.3709999918937683","0.3709999918937683","0.3709999918937683","0.5460000038146973","0.5460000038146973","0.5460000038146973","0.23600000143051147","0.23600000143051147","0.23600000143051147","0.46799999475479126","0.46799999475479126","0.46799999475479126","0.6179999709129333","0.6179999709129333","0.6179999709129333","0.5419999957084656","0.5419999957084656","0.5419999957084656","0.335999995470047","0.335999995470047","0.335999995470047"
"2","0.48899999260902405","0.48899999260902405","0.48899999260902405","0.6359999775886536","0.6359999775886536","0.6359999775886536","0.4389999806880951","0.4389999806880951","0.4389999806880951","0.5899999737739563","0.5899999737739563","0.5899999737739563","0.578000009059906","0.578000009059906","0.578000009059906","0.6169999837875366","0.6169999837875366","0.6169999837875366","0.6809999942779541","0.6809999942779541","0.6809999942779541","0.6209999918937683","0.6209999918937683","0.6209999918937683","0.5849999785423279","0.5849999785423279","0.5849999785423279","0.4399999976158142","0.4399999976158142","0.4399999976158142"
"3","0.5379999876022339","0.5379999876022339","0.5379999876022339","0.5799999833106995","0.5799999833106995","0.5799999833106995","0.49399998784065247","0.49399998784065247","0.49399998784065247","0.6499999165534973","0.6499999165534973","0.6499999165534973","0.5809999704360962","0.5809999704360962","0.5809999704360962","0.5559999942779541","0.5559999942779541","0.5559999942779541","0.6899999380111694","0.6899999380111694","0.6899999380111694","0.6259999871253967","0.6259999871253967","0.6259999871253967","0.6029999852180481","0.6029999852180481","0.6029999852180481","0.4950000047683716","0.4950000047683716","0.4950000047683716"
"4","0.5730000138282776","0.5730000138282776","0.5730000138282776","0.6579999923706055","0.6579999923706055","0.6579999923706055","0.6129999756813049","0.6129999756813049","0.6129999756813049","0.5929999947547913","0.5929999947547913","0.5929999947547913","0.6639999747276306","0.6639999747276306","0.6639999747276306","0.6069999933242798","0.6069999933242798","0.6069999933242798","0.6859999895095825","0.6859999895095825","0.6859999895095825","0.6589999794960022","0.6589999794960022","0.6589999794960022","0.6140000224113464","0.6140000224113464","0.6140000224113464","0.5989999771118164","0.5989999771118164","0.5989999771118164"
"5","0.5379999876022339","0.5379999876022339","0.5379999876022339","0.593999981880188","0.593999981880188","0.593999981880188","0.640999972820282","0.640999972820282","0.640999972820282","0.5879999995231628","0.5879999995231628","0.5879999995231628","0.6060000061988831","0.6060000061988831","0.6060000061988831","0.5630000233650208","0.5630000233650208","0.5630000233650208","0.6759999990463257","0.6759999990463257","0.6759999990463257","0.6290000081062317","0.6290000081062317","0.6290000081062317","0.6100000143051147","0.6100000143051147","0.6100000143051147","0.5189999938011169","0.5189999938011169","0.5189999938011169"
"6","0.6420000195503235","0.6420000195503235","0.6420000195503235","0.640999972820282","0.640999972820282","0.640999972820282","0.6340000629425049","0.6340000629425049","0.6340000629425049","0.6019999980926514","0.6019999980926514","0.6019999980926514","0.6119999885559082","0.6119999885559082","0.6119999885559082","0.5740000009536743","0.5740000009536743","0.5740000009536743","0.6940000057220459","0.6940000057220459","0.6940000057220459","0.6859999895095825","0.6859999895095825","0.6859999895095825","0.6279999613761902","0.6279999613761902","0.6279999613761902","0.5","0.5","0.5"
"7","0.6159999370574951","0.6159999370574951","0.6159999370574951","0.6450000405311584","0.6450000405311584","0.6450000405311584","0.6290000081062317","0.6290000081062317","0.6290000081062317","0.6179999709129333","0.6179999709129333","0.6179999709129333","0.6230000853538513","0.6230000853538513","0.6230000853538513","0.6320000290870667","0.6320000290870667","0.6320000290870667","0.6909999847412109","0.6909999847412109","0.6909999847412109","0.6650000214576721","0.6650000214576721","0.6650000214576721","0.6220000386238098","0.6220000386238098","0.6220000386238098","0.5839999914169312","0.5839999914169312","0.5839999914169312"
"8","0.6019999980926514","0.6019999980926514","0.6019999980926514","0.6660000085830688","0.6660000085830688","0.6660000085830688","0.656000018119812","0.656000018119812","0.656000018119812","0.6279999613761902","0.6279999613761902","0.6279999613761902","0.6859999895095825","0.6859999895095825","0.6859999895095825","0.593999981880188","0.593999981880188","0.593999981880188","0.6769999861717224","0.6769999861717224","0.6769999861717224","0.6809999942779541","0.6809999942779541","0.6809999942779541","0.5989999771118164","0.5989999771118164","0.5989999771118164","0.5080000162124634","0.5080000162124634","0.5080000162124634"
"9","0.6309999823570251","0.6309999823570251","0.6309999823570251","0.6430000066757202","0.6430000066757202","0.6430000066757202","0.6079999804496765","0.6079999804496765","0.6079999804496765","0.6119999885559082","0.6119999885559082","0.6119999885559082","0.6399999856948853","0.6399999856948853","0.6399999856948853","0.5540000200271606","0.5540000200271606","0.5540000200271606","0.6880000233650208","0.6880000233650208","0.6880000233650208","0.6710000038146973","0.6710000038146973","0.6710000038146973","0.6159999370574951","0.6159999370574951","0.6159999370574951","0.5130000114440918","0.5130000114440918","0.5130000114440918"
