"Step","GAT_features-16_layers-2_lr-0.0001 - test_accuracy","GAT_features-16_layers-2_lr-0.0001 - test_accuracy__MIN","GAT_features-16_layers-2_lr-0.0001 - test_accuracy__MAX","GAT_features-16_layers-2_lr-0.001 - test_accuracy","GAT_features-16_layers-2_lr-0.001 - test_accuracy__MIN","GAT_features-16_layers-2_lr-0.001 - test_accuracy__MAX","GAT_features-16_layers-2_lr-0.01 - test_accuracy","GAT_features-16_layers-2_lr-0.01 - test_accuracy__MIN","GAT_features-16_layers-2_lr-0.01 - test_accuracy__MAX","GAT_features-16_layers-1_lr-0.0001 - test_accuracy","GAT_features-16_layers-1_lr-0.0001 - test_accuracy__MIN","GAT_features-16_layers-1_lr-0.0001 - test_accuracy__MAX","GAT_features-16_layers-1_lr-0.001 - test_accuracy","GAT_features-16_layers-1_lr-0.001 - test_accuracy__MIN","GAT_features-16_layers-1_lr-0.001 - test_accuracy__MAX","GAT_features-16_layers-1_lr-0.01 - test_accuracy","GAT_features-16_layers-1_lr-0.01 - test_accuracy__MIN","GAT_features-16_layers-1_lr-0.01 - test_accuracy__MAX","GAT_features-16_layers-0_lr-0.0001 - test_accuracy","GAT_features-16_layers-0_lr-0.0001 - test_accuracy__MIN","GAT_features-16_layers-0_lr-0.0001 - test_accuracy__MAX","GAT_features-16_layers-0_lr-0.001 - test_accuracy","GAT_features-16_layers-0_lr-0.001 - test_accuracy__MIN","GAT_features-16_layers-0_lr-0.001 - test_accuracy__MAX","GAT_features-16_layers-0_lr-0.01 - test_accuracy","GAT_features-16_layers-0_lr-0.01 - test_accuracy__MIN","GAT_features-16_layers-0_lr-0.01 - test_accuracy__MAX","GAT_features-8_layers-2_lr-0.0001 - test_accuracy","GAT_features-8_layers-2_lr-0.0001 - test_accuracy__MIN","GAT_features-8_layers-2_lr-0.0001 - test_accuracy__MAX"
"10","0.8180000185966492","0.8180000185966492","0.8180000185966492","0.8000000715255737","0.8000000715255737","0.8000000715255737","0.8090000152587891","0.8090000152587891","0.8090000152587891","0.777999997138977","0.777999997138977","0.777999997138977","0.7829999923706055","0.7829999923706055","0.7829999923706055","0.7820000052452087","0.7820000052452087","0.7820000052452087","0.8199999928474426","0.8199999928474426","0.8199999928474426","0.7839999794960022","0.7839999794960022","0.7839999794960022","0.781000018119812","0.781000018119812","0.781000018119812","0.7559999823570251","0.7559999823570251","0.7559999823570251"
"11","0.8000000715255737","0.8000000715255737","0.8000000715255737","0.7640000581741333","0.7640000581741333","0.7640000581741333","0.8100000023841858","0.8100000023841858","0.8100000023841858","0.7889999151229858","0.7889999151229858","0.7889999151229858","0.7979999780654907","0.7979999780654907","0.7979999780654907","0.8039999604225159","0.8039999604225159","0.8039999604225159","0.7900000214576721","0.7900000214576721","0.7900000214576721","0.7679999470710754","0.7679999470710754","0.7679999470710754","0.8050000071525574","0.8050000071525574","0.8050000071525574","0.7600000500679016","0.7600000500679016","0.7600000500679016"
"12","0.8039999604225159","0.8039999604225159","0.8039999604225159","0.796000063419342","0.796000063419342","0.796000063419342","0.7990000247955322","0.7990000247955322","0.7990000247955322","0.7839999794960022","0.7839999794960022","0.7839999794960022","0.8069999814033508","0.8069999814033508","0.8069999814033508","0.8059999942779541","0.8059999942779541","0.8059999942779541","0.7789999842643738","0.7789999842643738","0.7789999842643738","0.7519999742507935","0.7519999742507935","0.7519999742507935","0.8190000057220459","0.8190000057220459","0.8190000057220459","0.746999979019165","0.746999979019165","0.746999979019165"
"13","0.8039999604225159","0.8039999604225159","0.8039999604225159","0.7829999923706055","0.7829999923706055","0.7829999923706055","0.8190000057220459","0.8190000057220459","0.8190000057220459","0.7770000100135803","0.7770000100135803","0.7770000100135803","0.7829999923706055","0.7829999923706055","0.7829999923706055","0.7839999794960022","0.7839999794960022","0.7839999794960022","0.8079999685287476","0.8079999685287476","0.8079999685287476","0.7770000100135803","0.7770000100135803","0.7770000100135803","0.7950000166893005","0.7950000166893005","0.7950000166893005","0.7590000033378601","0.7590000033378601","0.7590000033378601"
"14","0.7940000295639038","0.7940000295639038","0.7940000295639038","0.777999997138977","0.777999997138977","0.777999997138977","0.8079999685287476","0.8079999685287476","0.8079999685287476","0.8009999394416809","0.8009999394416809","0.8009999394416809","0.7920000553131104","0.7920000553131104","0.7920000553131104","0.7920000553131104","0.7920000553131104","0.7920000553131104","0.8009999394416809","0.8009999394416809","0.8009999394416809","0.7630000114440918","0.7630000114440918","0.7630000114440918","0.796000063419342","0.796000063419342","0.796000063419342","0.7440000176429749","0.7440000176429749","0.7440000176429749"
"15","0.8109999895095825","0.8109999895095825","0.8109999895095825","0.8009999394416809","0.8009999394416809","0.8009999394416809","0.8050000071525574","0.8050000071525574","0.8050000071525574","0.765999972820282","0.765999972820282","0.765999972820282","0.7860000133514404","0.7860000133514404","0.7860000133514404","0.8230000138282776","0.8230000138282776","0.8230000138282776","0.7889999151229858","0.7889999151229858","0.7889999151229858","0.7689999938011169","0.7689999938011169","0.7689999938011169","0.777999997138977","0.777999997138977","0.777999997138977","0.7459999918937683","0.7459999918937683","0.7459999918937683"
"16","0.8159999847412109","0.8159999847412109","0.8159999847412109","0.7829999923706055","0.7829999923706055","0.7829999923706055","0.8180000185966492","0.8180000185966492","0.8180000185966492","0.7979999780654907","0.7979999780654907","0.7979999780654907","0.7870000004768372","0.7870000004768372","0.7870000004768372","0.8059999942779541","0.8059999942779541","0.8059999942779541","0.796000063419342","0.796000063419342","0.796000063419342","0.7679999470710754","0.7679999470710754","0.7679999470710754","0.7759999632835388","0.7759999632835388","0.7759999632835388","0.7480000257492065","0.7480000257492065","0.7480000257492065"
"17","0.8039999604225159","0.8039999604225159","0.8039999604225159","0.7950000166893005","0.7950000166893005","0.7950000166893005","0.8329999446868896","0.8329999446868896","0.8329999446868896","0.7990000247955322","0.7990000247955322","0.7990000247955322","0.8000000715255737","0.8000000715255737","0.8000000715255737","0.7969999313354492","0.7969999313354492","0.7969999313354492","0.8019999861717224","0.8019999861717224","0.8019999861717224","0.75","0.75","0.75","0.7860000133514404","0.7860000133514404","0.7860000133514404","0.7590000033378601","0.7590000033378601","0.7590000033378601"
"18","0.8019999861717224","0.8019999861717224","0.8019999861717224","0.7789999842643738","0.7789999842643738","0.7789999842643738","0.8180000185966492","0.8180000185966492","0.8180000185966492","0.7889999151229858","0.7889999151229858","0.7889999151229858","0.8000000715255737","0.8000000715255737","0.8000000715255737","0.8059999942779541","0.8059999942779541","0.8059999942779541","0.8039999604225159","0.8039999604225159","0.8039999604225159","0.7710000872612","0.7710000872612","0.7710000872612","0.8029999732971191","0.8029999732971191","0.8029999732971191","0.75","0.75","0.75"
"19","0.8180000185966492","0.8180000185966492","0.8180000185966492","0.7839999794960022","0.7839999794960022","0.7839999794960022","0.8159999847412109","0.8159999847412109","0.8159999847412109","0.8019999861717224","0.8019999861717224","0.8019999861717224","0.7839999794960022","0.7839999794960022","0.7839999794960022","0.7749999761581421","0.7749999761581421","0.7749999761581421","0.8079999685287476","0.8079999685287476","0.8079999685287476","0.7730000019073486","0.7730000019073486","0.7730000019073486","0.7979999780654907","0.7979999780654907","0.7979999780654907","0.7620000243186951","0.7620000243186951","0.7620000243186951"
