"Step","GAT-dataset-PubMed - test_accuracy","GAT-dataset-PubMed - test_accuracy__MIN","GAT-dataset-PubMed - test_accuracy__MAX","GAT-dataset-CiteSeer - test_accuracy","GAT-dataset-CiteSeer - test_accuracy__MIN","GAT-dataset-CiteSeer - test_accuracy__MAX","GAT-dataset-Cora - test_accuracy","GAT-dataset-Cora - test_accuracy__MIN","GAT-dataset-Cora - test_accuracy__MAX"
"16","0.7200000286102295","0.7200000286102295","0.7200000286102295","0.6600000262260437","0.6600000262260437","0.6600000262260437","0.8220000267028809","0.8220000267028809","0.8220000267028809"
"17","0.7149999737739563","0.7149999737739563","0.7149999737739563","0.6499999165534973","0.6499999165534973","0.6499999165534973","0.8119999766349792","0.8119999766349792","0.8119999766349792"
"18","0.7239999771118164","0.7239999771118164","0.7239999771118164","0.6629999876022339","0.6629999876022339","0.6629999876022339","0.8220000267028809","0.8220000267028809","0.8220000267028809"
"19","0.7279999852180481","0.7279999852180481","0.7279999852180481","0.6650000214576721","0.6650000214576721","0.6650000214576721","0.8210000395774841","0.8210000395774841","0.8210000395774841"
"20","0.7250000238418579","0.7250000238418579","0.7250000238418579","0.6589999794960022","0.6589999794960022","0.6589999794960022","0.8240000605583191","0.8240000605583191","0.8240000605583191"
"21","0.7229999899864197","0.7229999899864197","0.7229999899864197","0.6570000052452087","0.6570000052452087","0.6570000052452087","0.8199999928474426","0.8199999928474426","0.8199999928474426"
"22","0.7239999771118164","0.7239999771118164","0.7239999771118164","0.6629999876022339","0.6629999876022339","0.6629999876022339","0.8329999446868896","0.8329999446868896","0.8329999446868896"
"23","0.722000002861023","0.722000002861023","0.722000002861023","0.6539999842643738","0.6539999842643738","0.6539999842643738","0.8240000605583191","0.8240000605583191","0.8240000605583191"
"24","0.7300000190734863","0.7300000190734863","0.7300000190734863","0.6380000114440918","0.6380000114440918","0.6380000114440918","0.8190000057220459","0.8190000057220459","0.8190000057220459"
"25","0.7360000014305115","0.7360000014305115","0.7360000014305115","0.6589999794960022","0.6589999794960022","0.6589999794960022","0.8270000219345093","0.8270000219345093","0.8270000219345093"
"26","0.7390000224113464","0.7390000224113464","0.7390000224113464","0.6450000405311584","0.6450000405311584","0.6450000405311584","0.8199999928474426","0.8199999928474426","0.8199999928474426"
"27","0.7379999756813049","0.7379999756813049","0.7379999756813049","0.6439999938011169","0.6439999938011169","0.6439999938011169","0.8259999752044678","0.8259999752044678","0.8259999752044678"
"28","0.7250000238418579","0.7250000238418579","0.7250000238418579","0.6700000166893005","0.6700000166893005","0.6700000166893005","0.8149999976158142","0.8149999976158142","0.8149999976158142"
"29","0.7210000157356262","0.7210000157356262","0.7210000157356262","0.6579999923706055","0.6579999923706055","0.6579999923706055","0.8149999976158142","0.8149999976158142","0.8149999976158142"
"30","0.7239999771118164","0.7239999771118164","0.7239999771118164","0.6320000290870667","0.6320000290870667","0.6320000290870667","0.8230000138282776","0.8230000138282776","0.8230000138282776"
"31","0.7390000224113464","0.7390000224113464","0.7390000224113464","0.6359999775886536","0.6359999775886536","0.6359999775886536","0.8100000023841858","0.8100000023841858","0.8100000023841858"
"32","0.7400000095367432","0.7400000095367432","0.7400000095367432","0.6660000085830688","0.6660000085830688","0.6660000085830688","0.8249999284744263","0.8249999284744263","0.8249999284744263"
"33","0.7390000224113464","0.7390000224113464","0.7390000224113464","0.6639999747276306","0.6639999747276306","0.6639999747276306","0.8119999766349792","0.8119999766349792","0.8119999766349792"
"34","0.7369999885559082","0.7369999885559082","0.7369999885559082","0.6710000038146973","0.6710000038146973","0.6710000038146973","0.8019999861717224","0.8019999861717224","0.8019999861717224"
"35","0.7319999933242798","0.7319999933242798","0.7319999933242798","0.6769999861717224","0.6769999861717224","0.6769999861717224","0.8059999942779541","0.8059999942779541","0.8059999942779541"
"36","0.7369999885559082","0.7369999885559082","0.7369999885559082","0.6789999604225159","0.6789999604225159","0.6789999604225159","0.7950000166893005","0.7950000166893005","0.7950000166893005"
"37","0.7440000176429749","0.7440000176429749","0.7440000176429749","0.6650000214576721","0.6650000214576721","0.6650000214576721","0.8100000023841858","0.8100000023841858","0.8100000023841858"
"38","0.75","0.75","0.75","0.6620000600814819","0.6620000600814819","0.6620000600814819","0.8079999685287476","0.8079999685287476","0.8079999685287476"
"39","0.7319999933242798","0.7319999933242798","0.7319999933242798","0.6660000085830688","0.6660000085830688","0.6660000085830688","0.8170000314712524","0.8170000314712524","0.8170000314712524"
"40","0.7480000257492065","0.7480000257492065","0.7480000257492065","0.6669999957084656","0.6669999957084656","0.6669999957084656","0.7969999313354492","0.7969999313354492","0.7969999313354492"
"41","0.7480000257492065","0.7480000257492065","0.7480000257492065","0.6570000052452087","0.6570000052452087","0.6570000052452087","0.8000000715255737","0.8000000715255737","0.8000000715255737"
"42","0.7450000047683716","0.7450000047683716","0.7450000047683716","0.6730000376701355","0.6730000376701355","0.6730000376701355","0.7990000247955322","0.7990000247955322","0.7990000247955322"
"43","0.7379999756813049","0.7379999756813049","0.7379999756813049","0.6610000133514404","0.6610000133514404","0.6610000133514404","0.8119999766349792","0.8119999766349792","0.8119999766349792"
"44","0.7379999756813049","0.7379999756813049","0.7379999756813049","0.6549999713897705","0.6549999713897705","0.6549999713897705","0.8309999704360962","0.8309999704360962","0.8309999704360962"
"45","0.7429999709129333","0.7429999709129333","0.7429999709129333","0.6349999904632568","0.6349999904632568","0.6349999904632568","0.8349999785423279","0.8349999785423279","0.8349999785423279"
"46","0.7559999823570251","0.7559999823570251","0.7559999823570251","0.6499999165534973","0.6499999165534973","0.6499999165534973","0.8240000605583191","0.8240000605583191","0.8240000605583191"
"47","0.7549999952316284","0.7549999952316284","0.7549999952316284","0.6639999747276306","0.6639999747276306","0.6639999747276306","0.8220000267028809","0.8220000267028809","0.8220000267028809"
"48","0.7419999837875366","0.7419999837875366","0.7419999837875366","0.6520000100135803","0.6520000100135803","0.6520000100135803","0.8170000314712524","0.8170000314712524","0.8170000314712524"
